Model,Accuracy,Precision,Recall,F1
Random Forest,0.8888888888888888,0.75,1.0,0.8571428571428571
XGBoost,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666
Naive Bayes,0.3333333333333333,0.3333333333333333,1.0,0.5
