recipe_id,recipe_name,han_score_raw,han_score
78,Healthy Kale Pesto Pasta Recipe,0.03494233,0.79473686
79,Homemade Harissa Paste Recipe,0.034222566,0.78542113
80,Sindhi Style Wadi Aloo Ki Sabzi Recipe - Spicy Wadi And Potato Curry,0.035233963,0.7985114
81,No Onion No Garlic Aloo Makhana Sabzi Recipe,0.03619771,0.8109849
82,Soya Manchurian Gravy Recipe,0.032699153,0.76570404
83,Carrots & Sweet Potato Stuffed Paratha Recipe,0.033930246,0.7816377
84,Moong Dal Tikki Recipe,0.034273006,0.786074
85,Roasted Pumpkin Spinach and Walnut Spaghetti Recipe,0.034525797,0.7893458
86,Malvani Fish Curry Recipe - Delicious And Spicy Fish Curry,0.014980046,0.5363706
87,Healthy Fruit Pizza Recipe For Breakfast,0.032230247,0.75963515
88,Mullangi Poriyal Recipe,0.035611186,0.80339366
89,Thayir Semiya Recipe (Curd Semiya),0.03371047,0.7787932
90,Pain Viennois | Vienna Bread Recipe,0.031271033,0.7472203
91,Bean Spinach And Corn Quesadilla Recipe,0.03645198,0.81427586
92,Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas,0.03155733,0.7509257
93,Achari Amla Mirchi Ki Sabzi Recipe - Gooseberry & Green Chilli Sabzi,0.03321916,0.77243435
94,तुरई चना सब्ज़ी - Ridge Gourd With Black Gram Dal (Recipe In Hindi),0.03315583,0.7716147
95,Rajasthani Style Sukhe Gatte Capsicum Ki Sabzi Recipe,0.03158945,0.75134146
96,Sweet & Spicy Vegetable Hong Kong Style Recipe,0.032950066,0.76895154
97,Tandoori Chicken Curry Recipe,0.015974136,0.5492369
98,Aubergine Layered Baked Corn Cheese Quinoa Pasta Recipe,0.03501705,0.79570395
99,Mangalorean Style Ambe Upkari Recipe - Ripe Mango Curry,0.033817973,0.7801846
100,Milk Braid Rolls Recipe,0.033762373,0.779465
101,Konkani Style Kotte Saaru/Halasina Bijada Saru Recipe-Jackfruit Seed Rasam,0.03615063,0.8103756
102,Cheese Masala Omelette Recipe,0.033966176,0.78210276
103,Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,0.036709026,0.81760275
104,Turkish Pide Recipe - Crusty Bread with Sesame Seeds,0.035030022,0.79587185
105,Rajma and Horse Gram Stuffed Paratha Recipe,0.031139033,0.7455119
106,Raw Papaya Red Bell Peppers Stuffed Paratha,0.03165564,0.75219816
107,Vegetable Rava Upma Recipe - Sooji Upma Recipe,0.034216687,0.7853451
108,Kongunadu Style Vetrilai Sadam Recipe - Betel Leaves Rice,0.03504716,0.79609364
109,Mysore Style Avarekalu Rasam Recipe,0.037300013,0.82525164
110,Parsi Style Paneer Charvela Eda Sathe Recipe-Scrambled Eggs with Paneer Recipe,0.032969464,0.7692026
111,Milagu Jeera Curry Leaf Sadam Recipe,0.033488993,0.7759267
112,Gujarati Undhiyu Recipe - Mixed Vegetable With Fenugreek Dumplings,0.033503607,0.77611583
113,Savoury Crepes with Za'atar Spiced Chicken Recipe,0.018476253,0.58162105
114,Kolkata Chicken Chaap Recipe - Slow Cooked Chicken Legs,0.034434423,0.7881631
115,Whole Wheat Oats And Pesto Bread Recipe,0.030102845,0.7321008
116,Royyala Kura Recipe (Andhra Style Prawn Curry),0.03407757,0.7835445
117,Chicken In Thai Basil Sauce Recipe,0.019194521,0.5909174
118,Chinese Style Oats Vegetable Dimsums Recipe,0.03391855,0.78148633
119,Spinach Corn Pasta Recipe In Creamy White Sauce,0.03573557,0.8050035
120,Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,0.036464978,0.81444407
121,Delicious Skillet Plum Cake Recipe,0.033428464,0.7751433
122,Stuffed Bun With Veggies Recipe,0.03397186,0.7821763
123,Gujarati Kobi Marcha No Sambharo Recipe - Cabbage & Bell Pepper Stir Fry,0.03667105,0.81711113
124,Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe,0.033292744,0.7733867
125,Karnataka Style Avarekalu Huli Saru Recipe (Field Beans in a Coconut based Gravy Recipe),0.037543587,0.8284041
126,Cold Pasta Salad With Potatoes And Green Peas Recipe,0.032161597,0.7587466
127,Lebanese Style Shish Tawook Recipe - Grilled Chicken Skewers,0.035936974,0.8076103
128,Chicken Lasagna Recipe,0.03459379,0.7902258
129,Pakki Mutton Biryani Recipe,0.03697151,0.821
130,Himachali Pahadi Mutton Recipe,0.03283114,0.7674123
131,Three Bean Salad Recipe,0.032616455,0.7646337
132,Pudina Rice Recipe,0.034397222,0.7876817
133,Shahi Vegetable Pulao Recipe,0.028779557,0.7149738
134,Mexican Style Scrambled Egg Enchiladas Recipe,0.033882108,0.7810147
135,Rajasthani Kadhi Recipe,0.032600004,0.7644208
136,Fettuccine Pasta Recipe With Roasted Red Bell Pepper Sauce,0.033110138,0.77102333
137,Moroccan Spiced Cauliflower And Almond Soup Recipe,0.033792708,0.77985764
138,Mushroom Cutlet Vegetarian Sizzler Recipe,0.031279948,0.7473357
139,Corn Pulao Recipe,0.034229808,0.7855149
140,Green Beans Paruppu Usili Recipe - Iyengar Style,0.034676358,0.79129446
141,Cheesy Baked Ziti Pasta Recipe with Roasted Mushroom & Corn,0.031381246,0.74864674
142,Southern Style Fried Chicken Recipe,0.018837463,0.5862961
143,Sindhi Sai Bhaji Recipe - Wholesome Sindhi Dal With Vegetables,0.03305139,0.77026296
144,Ringna No Olo Recipe - A Kathiyawadi Gujarati Style Roasted Eggplant,0.0331779,0.77190036
145,French Onion Tart Recipe,0.033132292,0.77131003
146,Dudhi Dal Gosht Recipe-Mutton With Bottle Gourd & Lentils,0.036776807,0.81847996
147,Chinese Chicken Sweet Corn Soup Recipe,0.020213313,0.6041033
148,Baked Potato Thyme Rolls Recipe,0.03198758,0.75649434
149,Kongunadu Kathirikai Rasam Recipe - Spicy & Tangy Eggplant Rasam,0.0341533,0.7845247
150,Spicy Moroccan Rice With Chicken Recipe,0.01582301,0.54728085
151,Walnut Mushroom Veg Bolognese Recipe With A Twist,0.031460434,0.74967164
152,Savoury Yogurt Parfait Recipe,0.031876724,0.7550596
