final_food_name,best_match_clean,matched_original_name,composite_score,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Stuffed round gourd (Bharwa tinde),stuffed round gourd,Stuffed round gourd (Bharwa tinde),97.39,72.8,4.02,1.1,5.75,2.1,180.15,20.21,0.59,37.36,71.07
Chicken chowmein,chicken chowmein,Chicken chowmein,96.75,151.33,13.3,6.33,8.23,1.64,288.15,26.1,0.89,84.96,102.27
Prawn curry (with coconut) (Jhinga curry),prawn curry,Prawn curry (with coconut) (Jhinga curry),96.75,109.55,3.1,8.54,6.93,1.56,375.86,37.25,0.96,3.72,43.62
Mexican rice,mexican rice,Mexican rice,96.75,120.57,14.21,4.62,4.88,1.64,93.42,14.51,0.55,42.71,53.09
Vegetable patties ,vegetable patties,Vegetable patties ,96.75,261.92,20.98,4.01,17.74,2.62,139.52,18.96,0.87,13.92,22.85
Peanut raita (Mungfali ka raita),peanut raita,Peanut raita (Mungfali ka raita),96.75,150.39,9.3,8.59,8.98,1.89,235.83,174.6,0.74,2.59,36.67
Rasam powder (Rasam masala),rasam powder,Rasam powder (Rasam masala),96.75,267.96,25.19,12.04,11.8,35.71,38.78,562.15,14.72,,
Paneer lababdar,paneer lababdar,Paneer lababdar,96.75,105.48,3.37,3.98,8.46,1.16,142.45,55.56,0.56,27.48,56.6
Carrot raita (Gajar ka raita),carrot raita,Carrot raita (Gajar ka raita),96.75,64.78,7.19,4.14,2.19,1.69,274.46,146.72,0.55,7.76,32.0
Mushroom sauce,mushroom sauce,Mushroom sauce,96.75,137.56,7.31,3.39,10.51,0.47,20.94,94.1,0.22,,
Egg sandwich (Ande ka sandwich),egg sandwich,Egg sandwich (Ande ka sandwich),96.75,285.96,29.16,8.69,15.8,1.88,461.67,110.13,1.44,0.0,14.92
Chicken stew,chicken stew,Chicken stew,96.75,127.55,4.44,7.19,8.91,1.82,79.62,31.53,0.9,20.89,36.31
Chicken salad,chicken salad,Chicken salad,96.75,338.19,1.3,15.33,30.26,2.0,50.62,43.19,1.23,4.92,35.5
Sprouted moong dal chat,sprouted moong dal chat,Sprouted moong dal chat,96.65,32.47,6.01,1.35,0.32,1.35,87.07,16.54,0.88,38.78,43.12
Pasta spinach sauce,pasta spinach sauce,Pasta spinach sauce,96.58,85.46,1.76,1.76,7.9,0.86,115.79,58.57,1.23,,
Coconut kheer (Nariyal ki kheer),coconut kheer,Coconut kheer (Nariyal ki kheer),96.33,162.61,14.42,3.4,10.55,1.53,45.97,89.52,0.53,12.21,49.34
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),rasam with lemon,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),96.25,24.41,2.85,1.11,0.87,1.54,102.77,15.56,0.52,19.71,28.91
Plain burfi (Burfi),plain burfi,Plain burfi (Burfi),95.5,408.32,30.88,9.82,27.96,0.17,31.65,355.78,1.5,0.05,23.94
Lemon curd filling,lemon curd filling,Lemon curd filling,95.5,225.62,26.41,3.43,12.58,0.0,34.9,16.39,0.6,0.64,3.21
Roast chicken,roast chicken,Roast chicken,94.93,199.9,0.1,20.49,13.06,0.03,71.71,13.61,0.79,0.3,13.16
Home made egg noodles,egg noodles,Home made egg noodles,94.93,240.84,42.92,6.55,4.37,1.6,177.24,15.96,1.15,0.0,30.08
Vegetable mix,vegetable mix,Vegetable mix,94.93,174.21,36.02,4.7,0.94,1.93,34.94,90.06,2.27,8.48,36.84
Coconut burfi (Nariyal ki burfi),coconut burfi,Coconut burfi (Nariyal ki burfi),94.93,467.64,32.15,8.81,34.63,3.5,27.63,272.81,1.82,0.0,26.6
Sesame toast,sesame toast,Sesame toast,94.93,495.19,11.15,1.9,49.38,1.32,128.78,43.44,0.72,6.92,8.87
Methi malai paneer,methi malai paneer,Methi malai paneer,94.91,194.98,8.15,7.34,14.76,1.47,221.16,183.96,0.77,13.6,73.86
Mutton do piaza,mutton do piaza,Mutton do piaza,94.8,183.3,4.14,9.39,14.41,1.93,118.62,118.61,1.63,7.42,67.3
Jackfruit kofta curry (Kathal ka kofta curry),jackfruit kofta curry,Jackfruit kofta curry (Kathal ka kofta curry),94.6,321.08,3.17,0.8,33.83,0.96,40.04,11.36,0.24,27.49,63.24
Vegetables stir fry ,vegetables stir fry,Vegetables stir fry ,94.6,30.78,3.19,1.04,1.47,1.37,55.0,13.3,0.34,38.17,61.93
Beans with coconut (Nariyal aur sem/phali; Beans thoran),beans with coconut,Beans with coconut (Nariyal aur sem/phali; Beans thoran),94.6,131.63,4.39,2.62,11.39,5.59,271.65,51.92,1.34,6.03,75.87
Paneer parantha/paratha,paneer parantha paratha,Paneer parantha/paratha,94.39,262.97,24.33,7.98,14.62,4.0,142.52,127.65,1.7,1.69,29.0
Cauliflower with coconut (Nariyal ke saath phoolgobhi),cauliflower with coconut,Cauliflower with coconut (Nariyal ke saath phoolgobhi),93.83,132.11,3.99,2.64,11.56,5.27,286.06,35.37,1.33,51.79,59.84
Paneer pakora/pakoda,paneer pakora pakoda,Paneer pakora/pakoda,93.78,718.12,5.52,3.27,76.05,0.89,131.7,43.38,0.43,0.07,143.43
Chicken sweet and sour,chicken sweet and sour,Chicken sweet and sour,93.66,445.09,2.67,6.92,47.59,0.58,1809.94,21.98,0.93,37.78,50.11
Crispy baked fish,crispy baked fish,Crispy baked fish,93.6,138.4,9.59,10.95,6.41,1.21,192.42,60.04,0.55,16.97,46.78
Spaghetti and cheese balls in tomato sauce,spaghetti and cheese balls in tomato sauce,Spaghetti and cheese balls in tomato sauce,93.48,508.32,7.82,2.41,52.08,0.59,104.14,40.59,0.32,57.67,115.96
Apple cinnamon pie,apple cinnamon pie,Apple cinnamon pie,93.48,258.73,33.68,3.35,12.21,1.77,60.14,16.14,0.65,2.24,11.58
Cheese and mushroom omelette/omlet,cheese and mushroom omelette omlet,Cheese and mushroom omelette/omlet,92.99,205.63,1.68,9.69,17.82,0.93,400.29,148.77,1.01,0.48,32.02
Cauliflower au gratin,cauliflower au gratin,Cauliflower au gratin,92.82,145.9,9.13,4.45,10.2,1.44,164.96,119.69,0.57,50.15,69.55
Dry mango chutney (Sookhe aam ki chutney),dry mango chutney,Dry mango chutney (Sookhe aam ki chutney),92.82,298.13,69.17,2.43,0.7,3.74,437.91,72.05,3.98,0.25,5.17
Vegetable khichdi/khichri,vegetable khichdi khichri,Vegetable khichdi/khichri,92.82,143.17,19.57,5.61,4.53,2.45,193.55,100.54,1.09,,
Moong dal with vadi,moong dal with vadi,Moong dal with vadi,92.77,24.08,1.0,0.4,2.05,0.39,112.36,2.99,0.18,10.19,11.52
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),cauliflower parantha paratha,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),91.98,178.07,18.84,3.73,9.47,4.68,190.03,22.0,1.59,17.61,26.32
Hot and sour soup,hot and sour soup,Hot and sour soup,91.91,31.51,1.78,3.12,1.31,0.6,163.26,10.68,0.43,24.59,39.83
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),cheese and tomato sandwich,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),91.88,243.32,26.92,7.92,12.27,1.97,549.71,191.2,1.0,3.16,12.18
Kadhai Paneer,kadhai paneer,Kadhai Paneer,91.8,107.99,7.34,4.33,6.81,2.07,144.33,91.53,0.65,85.83,117.12
Bottle gourd soup (Ghiya/Lauki soup),bottle gourd soup,Bottle gourd soup (Ghiya/Lauki soup),91.79,23.05,1.16,0.45,1.79,0.96,53.81,15.14,0.26,6.0,52.73
Lemon and ginger squash (Nimbu aur adrak ka squash),lemon and ginger squash,Lemon and ginger squash (Nimbu aur adrak ka squash),91.7,170.34,44.06,0.54,0.21,1.07,16.19,11.18,0.52,,
Chat masala,chat masala,Chat masala,91.5,222.58,23.87,8.19,9.91,18.62,11873.64,519.5,13.27,,
Minestrone soup,minestrone soup,Minestrone soup,91.38,42.66,3.71,9.3,11.09,1.92,8875.06,53.55,1.82,19.43,23.24
Spinach and potato (Palak aloo),spinach and potato,Spinach and potato (Palak aloo),91.38,57.17,5.91,1.63,2.82,2.04,62.46,43.67,1.59,78.73,242.0
Poha,poha,Poha,91.38,294.53,35.05,6.09,14.14,3.72,377.1,37.67,3.01,6.62,11.96
Peas kachori (Matar kachori),peas kachori,Peas kachori (Matar kachori),91.38,584.68,13.25,3.21,57.51,2.03,55.45,14.25,0.77,10.11,16.43
Idli,idli,Instant idli (with semolina),91.38,137.54,28.18,4.64,0.33,2.31,100.83,8.0,0.68,0.0,2.95
Panchmel dal,panchmel dal,Panchmel dal,91.38,111.22,10.71,4.63,5.36,3.2,79.46,23.05,1.42,8.49,79.58
Semolina halwa (Suji ka halwa),semolina halwa,Semolina halwa (Suji ka halwa),91.38,225.65,24.67,2.16,13.38,1.86,1.28,11.77,0.65,0.05,7.96
Boiled egg (Ubla anda),boiled egg,Boiled egg (Ubla anda),91.38,45.35,0.12,4.43,3.04,0.11,170.94,17.75,0.64,0.0,24.77
Cabbage kofta curry (Pattagobhi kofta curry),cabbage kofta curry,Cabbage kofta curry (Pattagobhi kofta curry),91.38,639.81,2.87,0.98,69.4,0.9,92.85,15.46,0.34,43.56,90.4
Mixed dal,mixed dal,Mixed dal,91.38,61.93,5.79,2.51,3.1,1.62,141.36,11.0,0.78,1.1,40.35
Sambar,sambar,Sambar,91.38,96.92,10.57,3.35,4.38,3.52,159.54,30.24,1.24,20.35,68.19
Horsegram dal (Kulthi dal) ,horsegram dal,Horsegram dal (Kulthi dal) ,91.38,55.65,8.21,2.91,1.13,1.52,63.63,38.22,1.3,13.98,86.1
Pomegranate raita (Anaar ka raita),pomegranate raita,Pomegranate raita (Anaar ka raita),91.38,72.64,7.15,4.05,3.24,0.6,195.18,138.31,0.25,4.6,23.86
Sweet rice (Meethe chawal),sweet rice,Sweet rice (Meethe chawal),91.38,215.41,42.59,2.1,4.57,1.13,3.2,11.38,0.34,0.21,10.65
Scrambled egg (Ande ki bhurji),scrambled egg,Scrambled egg (Ande ki bhurji),91.38,155.97,1.35,10.29,12.21,0.24,374.66,64.59,1.42,0.3,25.82
Carrot halwa (Gajar ka halwa),carrot halwa,Carrot halwa (Gajar ka halwa),91.38,172.64,18.53,3.11,9.73,2.65,39.96,106.94,0.76,6.53,44.8
Dal dhokli,dal dhokli,Dal dhokli,91.38,68.74,8.55,2.96,2.47,1.86,37.53,14.54,0.79,2.77,45.31
Vermicelli upma (Semiya/Seviyan upma),vermicelli upma,Vermicelli upma (Semiya/Seviyan upma),91.38,149.11,16.88,3.11,7.45,3.21,101.8,20.3,0.93,4.64,12.64
Gobi 65,gobi,Gobi 65,91.38,278.29,3.59,0.56,29.11,0.57,69.22,12.37,0.3,27.52,37.66
Paneer stuffed cheela/chilla,paneer stuffed cheela chilla,Paneer stuffed cheela/chilla,90.83,205.19,19.16,11.44,8.89,4.03,289.1,151.3,2.41,19.76,116.52
Stuffed baked potatoes ,stuffed baked potatoes,Stuffed baked potatoes ,90.8,100.2,11.03,3.82,4.39,1.31,92.09,25.72,0.81,18.77,23.25
Tutti frutti cake,tutti frutti cake,Tutti frutti cake,90.42,347.72,52.94,4.49,12.68,0.85,106.36,61.41,0.62,1.9,76.45
Chocolate eggless cake,chocolate eggless cake,Chocolate eggless cake,90.42,312.01,43.45,6.66,13.19,0.32,196.61,185.38,0.95,2.67,14.7
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),paneer pea sandwich,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),89.98,249.56,24.05,12.4,11.98,2.12,268.9,274.1,1.26,4.85,52.13
Carrot and fenugreek leaves (Gajar methi),carrot and fenugreek leaves,Carrot and fenugreek leaves (Gajar methi),89.7,61.92,4.17,2.1,3.81,4.43,262.91,128.83,2.72,51.83,81.67
Vegetable cutlet,vegetable cutlet,Vegetable cutlet,89.65,665.45,4.68,1.25,71.33,0.93,85.38,13.55,0.4,16.89,30.52
Chicken sandwich,chicken sandwich,Chicken sandwich (toasted),89.65,253.27,25.38,13.12,11.75,1.64,389.67,89.56,1.19,0.0,11.1
Dry potato (Sookhe aloo),dry potato,Dry potato (Sookhe aloo),89.65,103.15,14.38,1.62,4.18,1.88,199.99,17.2,0.83,23.23,15.7
Lobia curry,lobia curry,Lobia curry,89.62,148.99,17.88,6.06,5.62,4.57,355.41,36.8,2.21,15.13,86.78
Pea kofta curry (Matar kofta curry),pea kofta curry,Pea kofta curry (Matar kofta curry),89.55,595.66,4.17,2.01,63.39,1.7,83.07,13.84,0.56,74.66,129.13
Spinach kofta curry (Palak kofta curry),spinach kofta curry,Spinach kofta curry (Palak kofta curry),88.84,571.78,3.56,1.09,61.49,0.92,104.51,29.31,0.83,64.05,250.89
Lemon butter fish,lemon butter fish,Lemon butter fish,88.55,160.25,0.75,16.38,10.26,0.36,187.72,18.66,0.4,8.7,19.1
Almond soup (Badam ka soup),almond soup,Almond soup (Badam ka soup),88.15,78.65,3.68,10.13,13.8,0.91,8376.94,114.95,2.83,7.68,38.67
Bhel puri ,bhel puri,Bhel puri ,88.15,509.89,16.47,3.52,47.91,2.24,93.98,24.22,1.29,31.61,157.03
Jal jeera,jal jeera,Jal jeera,88.15,30.24,6.7,0.44,0.26,0.95,215.62,24.72,0.84,2.23,4.47
Potato fenugreek (Aloo methi),potato fenugreek,Potato fenugreek (Aloo methi),88.15,135.15,8.47,2.25,10.04,2.93,221.93,107.8,2.53,68.76,73.14
Whole masoor (Masoor ki dal),whole masoor,Whole masoor (Masoor ki dal),88.15,54.05,5.37,2.28,2.52,1.98,123.72,12.2,0.95,11.04,48.17
Gram flour ladoo (Besan ladoo),flour ladoo,Gram flour ladoo (Besan ladoo),88.15,476.91,62.61,8.93,22.76,4.43,5.48,25.35,1.51,0.0,24.79
Bottle gourd burfi (Ghiya/Lauki burfi),bottle gourd burfi,Bottle gourd burfi (Ghiya/Lauki burfi),88.11,275.96,24.51,5.86,17.68,0.73,18.15,215.85,0.93,1.08,34.06
Hot chocolate,hot chocolate,Hot chocolate,87.97,90.01,9.02,3.43,4.61,0.0,36.04,113.63,0.33,3.62,13.41
Peanut chutney (Mungfali ki chutney),peanut chutney,Peanut chutney (Mungfali ki chutney),87.97,258.37,9.87,11.8,19.06,5.73,475.34,34.79,1.99,4.2,10.14
Cheese balls,cheese balls,Cheese balls,87.97,681.28,4.81,2.21,72.57,0.18,120.7,30.01,0.32,0.01,2.95
Eggless cake,eggless cake,Eggless cake,87.97,318.08,46.14,8.12,11.75,0.68,310.5,212.97,0.61,1.35,7.58
Onion chutney (Pyaaz ki chutney/Vengaya chutney),onion chutney,Onion chutney (Pyaaz ki chutney/Vengaya chutney),87.97,143.94,13.52,2.97,8.38,4.6,256.89,28.5,1.19,2.83,17.03
Chocolate cake,chocolate cake,Chocolate cake,87.97,335.61,45.14,6.01,15.18,0.64,241.93,41.13,1.08,0.15,9.21
