model,accuracy,precision,recall,f1_score,roc_auc
HistGradientBoosting,0.9980872226472839,0.9962049335863378,0.9990485252140818,0.997624703087886,0.9999866075206078
Random Forest,0.9980872226472839,0.997148288973384,0.9980970504281637,0.997622444127437,0.9999933037603038
Naive Bayes,0.9533282325937261,0.9106984969053935,0.9800190294957184,0.9440879926672777,0.9794145416758739
