recipe_id,recipe_name,expiry_score
8854,Mixed Vegetable Kurma Recipe - Vegetables in Spicy Coconut Curry,1.0
15622,Shahi Egg Curry Recipe In Tomato & Cashew Gravy,1.0
4020,Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,1.0
2124,Potala Rasa Recipe (Oriya Style Parval Sabzi),1.0
17059,Patta Gobi Matar Nu Shaak Recipe (Cabbage & Peas Sabzi Recipe),1.0
984,Calamari Roast Recipe (Kerala Style Squid),1.0
3885,Bengali Style Kanchkolar Kofta Curry Recipe | Raw Banana Kofta Recipe,1.0
12742,Chettinad Style Pepper Mushroom Recipe,1.0
12640,Delicious Dal Makhani Recipe Without Onion and Garlic (Jain),1.0
3689,Dhingri Matar Recipe,1.0
17577,Kondakadalai Puli Vengaya Kuzhambu Recipe (South Indian Style Spicy And Tangy Kala Chana),1.0
833,Lemon Thyme Rasam Recipe,1.0
12604,Khatti Meethi Tinda Masala Recipe,1.0
2396,Chutney Chilli Cheese Toast Recipe,1.0
3722,Radish Leaves Pachadi Recipe,1.0
842,Chettinad Special Steamed Lentil Dumplings Gravy - Kola Urundai Kuzhambu,1.0
8269,Karnataka Style Mixed Vegetable Pulao Recipe,1.0
12539,Dudhi Dal Gosht Recipe-Mutton With Bottle Gourd & Lentils,1.0
3725,Dal Chenchki ( Red Lentils with Shallots),1.0
5447,Kandathippili Rasam Recipe - Long Pepper Rasam,1.0
17558,Aar Macher Jhol Recipe - Bengali Fish Curry,1.0
17553,Karnataka Style Mixed Vegetable Pulao Recipe,1.0
8293,Aar Macher Jhol Recipe - Bengali Fish Curry,1.0
853,Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,1.0
12536,Brinjal Capsicum Sabji Recipe,1.0
1599,Chettinad Style Tomato Vermicelli Upma Recipe,1.0
12535,Tawa Paneer Masala Recipe,1.0
12521,Tandoori Paneer Darts Masala Recipe,1.0
15324,Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,1.0
17583,Goan Chicken Vindaloo Recipe,1.0
15483,Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,1.0
816,Chotti Aloor Dum Recipe - Baby Potatoes In Tomato Gravy,1.0
772,Kacche Aam Aur Lehsun Ki Dal Recipe -Curried Lentils With Mango & Garlic,1.0
17636,Chettinad Kozhi Rasam Recipe - Chettinad Chicken Rasam,1.0
12736,Sweet Corn And Capsicum Gravy Recipe,1.0
3653,Suran Kebab Masala Recipe - Yam In Tomato Onion Gravy,1.0
15287,Corn And Peas Curry Recipe,1.0
5480,Pudina Rasam Recipe - Mint Leaves Rasam,1.0
5479,Green Apple Rasam Recipe,1.0
5475,Elaneer Rasam Recipe - Tender Coconut Rasam,1.0
15310,Smoked Dal Makhani Recipe - Dhaba Style,1.0
12685,Murungai Keerai Thanni Saaru Recipe-Drumstick Leaves Soup,1.0
17604,Drumstick Leaves Fried Rice Recipe,1.0
8214,Dudhi Dhokli Nu Shaak Recipe - Bottle Gourd And Steamed Dumplings Curry,1.0
8219,Chettinad Kozhi Rasam Recipe - Chettinad Chicken Rasam,1.0
15319,Chettinad Style Pepper Mushroom Recipe,1.0
805,Kaju Butter Masala Recipe,1.0
17597,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,1.0
5466,Roasted Bell Pepper Rasam Recipe,1.0
12663,Andhra Style Mukkala Pulusu Recipe-Mixed Vegetable Sambar,1.0
8237,Eggplant In Coconut Milk Gravy Recipe -Baingan Masala Sabzi,1.0
12502,Baked Stuffed Baati With Churma And Panchratna Dal Recipe,1.0
17531,Eggplant In Coconut Milk Gravy Recipe -Baingan Masala Sabzi,1.0
3751,Radish Leaves Pachadi (Recipe In Hindi),1.0
5425,Veppam Poo Rasam Recipe (Neem flower Rasam),1.0
15430,Sprouted Horse Gram Thoran Recipe - No Onion No Garlic,1.0
17455,Assamese Machor Tenga Anja Recipe - Fish Curry With Kokum,1.0
15438,Lauki Chana Dal Recipe | Dudhi Chana Dal | High Protein Bottle Gourd Lentil Curry,1.0
15442,Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry,1.0
15444,Lobia Masala Recipe (Black Eyed Bean Curry) - Roz Ka Khana With Figaro Olive Oil,1.0
12277,Oriya Style Ambila Recipe-Sweet & Spicy Mixed Vegetable Sabzi,1.0
15452,Spiced Onion Pulao Recipe - Pyaz Pulao Recipe,1.0
8561,Raw Mango Carrot Cucumber Salad Recipe With Peanuts,1.0
15455,Dim Posto Recipe - Bengali Egg Curry With Poppy Seeds,1.0
8587,Karnataka Style Bonda Soup Recipe-Urad dal Fritters in Spicy Dal Soup,1.0
15456,Sankara Meen Kuzhambu Recipe,1.0
17417,Dherosh Chingri Jhol Recipe (Bengali Style Prawn Curry With Ladies Finger),1.0
15459,Arbi Shimla Mirch Sabzi Recipe – Colocasia Capsicum Sabzi,1.0
12264,Traditional Maharashtrian Bhakarwadi Recipe,1.0
961,Sprouted Kollu Sambar Recipe - Horse Gram Sambar With Vegetables,1.0
2302,Milagu Rasam Recipe - Miriyala Charu | Pepper Rasam With Fresh Ground Rasam Powder,1.0
8597,Sweet and Spicy Tomato Chutney Recipe,1.0
15480,Lagan Ki Machli Recipe - Delicious Pomfret Curry,1.0
12220,Corn and Peas Curry Recipe - Corn And Peas Curry Recipe,1.0
922,Dangar Pachadi With Grated Carrots Recipe (Urad Dal Raita),1.0
3829,Jain Style Paneer Butter Masala Recipe | No Onion No Garlic Paneer Makhani,1.0
12310,Chettinad Kozhi Rasam Recipe - Chettinad Chicken Rasam,1.0
8411,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,1.0
2364,Sundakkai And Methi Leaves Sambar Recipe,1.0
17529,Amritsari Ajwaini Paneer Recipe,1.0
875,Masala Wali Turai Ki Sabzi Recipe - Ridge Gourd Masala Curry,1.0
876,Jaipuri Aloo Pyaz Ki Sabzi Recipe Using Preethi Electric Pressure Cooker,1.0
3753,Mughlai Style Chicken Changezi Recipe,1.0
15395,Kohlrabi Recipe (Knol Khol Poriyal),1.0
12426,Cheesy Paneer Masala Curry Recipe,1.0
5411,No Onion No Garlic Lauki Paneer Kofta Curry Recipe,1.0
8429,Pumpkin Dal with Garlic Tadka Recipe,1.0
12319,Kala Chana Masala Curry Recipe,1.0
896,Dhaba Style Green Moong Dal Tadka Recipe,1.0
3777,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,1.0
8447,Andhra Style Mukkala Pulusu Recipe-Mixed Vegetable Sambar,1.0
2345,Dhingri Matar Recipe (Mushrooms and Peas Spicy Curry),1.0
3814,Saunf Wali Hari Gobi Sabzi Recipe - Cauliflower Spiced with Fennel and Green Chutney,1.0
2333,Tamil Nadu Style Grinded Rasam Recipe,1.0
5376,Tulsi And Betel Leaves Rasam Recipe,1.0
5375,Tomato Jeera & Paruppu Rasam Recipe,1.0
15727,Saag Tofu Recipe (Tofu Simmered in Spiced Mustard & Spinach Leaves),1.0
16894,Roasted Garlic Tomato Chutney Recipe,1.0
11593,Goan Chicken Vindaloo Recipe,1.0
10646,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,1.0
9819,Dal Palak Recipe With Moong & Masoor Dal,1.0
1773,Bharwa Karela With Sweet Potato Filling Recipe,1.0
4458,Drumstick Fennel Spinach Sambar Recipe-Drumstick & Greens Sambar,1.0
16256,Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad,1.0
16249,Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,1.0
1764,Matar Masala Tofu Recipe,1.0
16241,Ajwaini Tamatar Bhindi Recipe,1.0
4472,Green Moong Sprout Salad Recipe With Vegetables- No Onion No Garlic,1.0
9854,Kathal Masaledar Sabzi Recipe - Jackfruit Masala Sabzi,1.0
9871,Kandathippili Rasam Recipe - Long Pepper Rasam,1.0
16010,Andhra Style Vendakaya Charu Recipe - Ladies Finger Rasam,1.0
1740,Chettinad Style Nattu Kozhi Varuval Recipe,1.0
1732,Mixed Vegetable Akki Roti Recipe,1.0
4755,Tomato Garlic Chutney Recipe,1.0
9903,Dhaba Style Green Moong Dal Tadka Recipe (Dhaba Style Green Moong Dal Tadka),1.0
10535,Kashmiri Style Paneer Masala Recipe,1.0
10522,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,1.0
9948,Pudina Rasam Recipe - Mint Leaves Rasam,1.0
10521,Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),1.0
10642,And fish soup recipe - Bengali fish curry,1.0
9771,Lagan Ki Machli Recipe - Delicious Pomfret Curry,1.0
11566,Palak Paneer Recipe - Palak Paneer Recipe,1.0
10653,Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,1.0
15932,Paruppu Urundai Rasam Recipe - Dal Dumpling Rasam,1.0
15937,Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),1.0
15938,Khatti Meethi Palak Khichdi Recipe,1.0
9655,Spicy Pickled Paneer Gravy (Recipe In Hindi),1.0
9657,Kongunadu Cucumber Juice Recipe - Spicy & Tonji Eggplant Juice,1.0
16330,Carrot and Capsicum Mix Dal Recipe,1.0
16328,Cabbage Tomato Pachadi Recipe,1.0
1801,Maharashtrian Tomato Saar Recipe,1.0
15946,Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,1.0
